keywords
"['#Indonesia', '#quarantine', '#arrivals', '#Reuters', '#removed']"
"['#March', '#China', '#cases', '#day', '#Reuters']"
"['#March', '#China', '#cases', '#day', '#reported']"
"['#March', '#China', '#cases', '#day', '#reported']"
"['#cases', '#March', '#China', '#day', '#Mainland']"
"['#Samoa', '#woman', '#coronavirus', '#locks', '#recording']"
"['#Pfizer', '#vaccine', '#seek', '#booster', '#coronavirus']"
"['#Cornwall', '#hospital', '#patients', '#Covid', '#spike']"
"['#need', '#know', '#coronavirus', '#Reuters', '#Kong']"
"['#need', '#know', '#coronavirus', '#Reuters', '#Kong']"
"['#China', '#stocks', '#Ukraine', '#inflation', '#worries']"
"['#Hong', '#Kong', '#infections', '#needs', '#stick']"
"['#Kong', '#leader', '#Hong', '#Carrie', '#Lam']"
"['#Kong', '#leader', '#Hong', '#Carrie', '#Lam']"
"['#China', '#oil', '#demand', '#destruction', '#Reuters']"
"['#variants', '#U.S.', '#March', '#CDC', '#sub']"
"['#China', '#shares', '#cases', '#extended', '#losses']"
"['#dealing', '#U.S.', '#invasion', '#Reuters', '#motorists']"
"['#Hong', '#Kong', '#study', '#reopening', '#travel']"
"['#makes', '#variants', '#U.S.', '#CDC', '#sub']"
"['#announce', '#plan', '#restrictions', '#government', '#set']"
"['#carriers', '#spring', '#travel', '#seeing', '#bounce']"
"['#oil', '#Gulf', '#markets', '#prices', '#Energy']"
"['#Hong', '#Kong', '#cases', '#city', '#reported']"
"['#Reuters', '#Asia', '#deaths', '#tally', '#passed']"
"['#China', '#yuan', '#month', '#low', '#policy']"
"['#threat', '#Omicron', '#strain', '#Reuters', '#authorities']"
"['#Britain', '#terms', '#COVID-19', '#inquiry', '#Reuters']"
"['#U.S.', '#gusher', '#money', '#government', '#poured']"
"['#Ecuador', '#limits', '#gatherings', '#Reuters', '#president']"
"['#Hong', '#Kong', '#coronavirus', '#looking', '#amend']"
"['#years', '#China', '#Julia', '#Volok', '#shocked']"
"['#Turkey', '#coronavirus', '#related', '#restrictions', '#Reuters']"
"['#variant', '#variants', '#U.S.', '#March', '#CDC']"
"['#Australia', '#meet', '#Omicron', '#concerns', '#Reuters']"
"['#Hong', '#Kong', '#leader', '#plans', '#tighten']"
"['#China', '#stock', '#markets', '#fell', '#Tuesday']"
"['#energy', '#related', '#carbon', '#emissions', '#rose']"
"['#conflict', '#supply', '#Reuters', '#companies', '#suffering']"
"['#test', '#Thailand', '#visitors', '#said', '#Friday']"
"['#Shanghai', '#cases', '#Reuters', '#approach', '#tackling']"
"['#cases', '#homes', '#South', '#Korea', '#coronavirus']"
"['#tighten', '#banks', '#access', '#ECB', '#European']"
"['#Democrats', '#House', '#revolt', '#government', '#coronavirus']"
"['#Ukraine', '#weapons', '#Russia', '#invasion', '#China']"
"['#Impasse', '#New', '#Covid', '#Relief', '#Aid']"
"['#factories', '#operations', '#Foxconn', '#Shenzhen', '#lockdown']"
"['#health', '#measures', '#curbing', '#anniversary', '#Stopping']"
"['#Russia', '#Italy', '#questions', '#aid', '#coronavirus']"
"['#Italy', '#cases', '#Tuesday', '#deaths', '#reported']"
"['#Italy', '#cases', '#Monday', '#deaths', '#Reuters']"
"['#Hong', '#Kong', '#infections', '#reported', '#cases']"
"['#economy', '#Omicron', '#coronavirus', '#UK', '#returned']"
"['#NHS', '#pressure', '#Covid', '#England', '#says']"
"['#Germany', '#vaccines', '#countries', '#Reuters', '#provide']"
"['#Mueckstein', '#Reuters', '#Health', '#Minister', '#Wolfgang']"
"['#Japan', '#set', '#border', '#coronavirus', '#Reuters']"
"['#Hong', '#Kong', '#coronavirus', '#infections', '#reported']"
"['#N.F.L.', '#Covid-19', '#players', '#March', '#Becomes']"
